接口编号,工具形式,管路安装阶段结果,螺母扳手或套筒方位_deg,反力扳手方位_deg,采用独立夹角,最少遮挡姿态中的零件
RET.TV2,双开口扳手,未找到无碰撞包络姿态,90,270,否,主液回流汇集（CR-301） [ReturnHeader]；床路回流阀组（BR-401） [BedReturn]；活接固定端与反力六角（RET.SEP） [UnionBody_RET_SEP]；活接可旋转螺母（RET.SEP） [UnionNut_RET_SEP]；活接固定端与反力六角（BR.201） [UnionBody_BR_201]；活接管侧端与承压凸缘（BR.201） [UnionTail_BR_201]；活接端面密封圈（BR.201） [UnionSeal_BR_201]；活接可旋转螺母（BR.201） [UnionNut_BR_201]；活接端面密封圈（BR.TK） [UnionSeal_BR_TK]；储氢床冷却液管路038｜固态储氢模块（MH201）—BR-401·床路回流阀组 [Pipe038]；储氢床冷却液管路033｜TK-401·独立次路膨胀罐—BR-401·床路回流阀组 [Pipe033]
RET.TK,双开口扳手,未找到无碰撞包络姿态,240,60,否,床路回流阀组（BR-401） [BedReturn]；双级减压·切断·比例·止回（REG-205） [Reg205]；活接固定端与反力六角（AH.E） [UnionBody_AH_E]；活接固定端与反力六角（BR.201） [UnionBody_BR_201]；活接管侧端与承压凸缘（BR.201） [UnionTail_BR_201]；活接端面密封圈（BR.201） [UnionSeal_BR_201]；活接可旋转螺母（BR.201） [UnionNut_BR_201]；储氢床冷却液管路038｜固态储氢模块（MH201）—BR-401·床路回流阀组 [Pipe038]；储氢床冷却液管路042｜固态储氢模块（MH202）—BR-401·床路回流阀组 [Pipe042]
RET.AH,双开口扳手,未找到无碰撞包络姿态,285,105,否,六路止回合流（HM-201） [HydrogenHeader]；双级减压·切断·比例·止回（REG-205） [Reg205]；活接固定端与反力六角（AH.E） [UnionBody_AH_E]
RET.HH,双开口扳手,未找到无碰撞包络姿态,30,210,否,板翅空气调温器（HX-101） [AirHX]
RET.SEP,双开口扳手,未找到无碰撞包络姿态,315,135,否,主液回流汇集（CR-301） [ReturnHeader]；床路回流阀组（BR-401） [BedReturn]；空气接头固定半体（AH.I） [UnionBody_AH_I]；空气接头开口卡箍（AH.I） [UnionClamp_AH_I]；活接固定端与反力六角（RET.TV2） [UnionBody_RET_TV2]；活接可旋转螺母（RET.TV2） [UnionNut_RET_TV2]；活接固定端与反力六角（BR.REG） [UnionBody_BR_REG]；活接可旋转螺母（BR.REG） [UnionNut_BR_REG]
RET.DI,双开口扳手,未找到无碰撞包络姿态,285,105,否,主液回流汇集（CR-301） [ReturnHeader]；床路回流阀组（BR-401） [BedReturn]；活接固定端与反力六角（AH.F） [UnionBody_AH_F]；活接固定端与反力六角（RET.TK） [UnionBody_RET_TK]；活接可旋转螺母（RET.TK） [UnionNut_RET_TK]；活接固定端与反力六角（BR.203） [UnionBody_BR_203]；活接管侧端与承压凸缘（BR.203） [UnionTail_BR_203]；活接端面密封圈（BR.203） [UnionSeal_BR_203]；活接可旋转螺母（BR.203） [UnionNut_BR_203]；储氢床冷却液管路046｜固态储氢模块（MH203）—BR-401·床路回流阀组 [Pipe046]
BS.IN,双开口扳手,未找到无碰撞包络姿态,225,45,否,床路选择阀组（BS-401） [BedSupply]；储氢床冷却液管路055｜BS-401·床路选择阀组—REG-205·双级减压·切断·比例·止回 [Pipe055]
BS.201,双开口扳手,找到无碰撞包络姿态,210,150,是,
BS.202,双开口扳手,未找到无碰撞包络姿态,285,105,否,活接固定端与反力六角（HM.204） [UnionBody_HM_204]；活接可旋转螺母（HM.204） [UnionNut_HM_204]
BS.203,双开口扳手,未找到无碰撞包络姿态,315,135,否,独立主路膨胀罐（TK-301） [TKmain]
